Unnamed: 0,tags,Allen_electronegativity_A,E_vacum_level_A,HSE_CBM_A,HSE_VBM_A,lattice_a_A,lattice_b_A,lattice_c_A,lattice_alpha_A,lattice_beta_A,lattice_gamma_A,Allen_electronegativity_B,E_vacum_level_B,HSE_CBM_B,HSE_VBM_B,lattice_a_B,lattice_b_B,lattice_c_B,lattice_alpha_B,lattice_beta_B,lattice_gamma_B,Type_Allen_010_diff_06,label
0,Sb-2dm-3356/MoSe2-2dm-3409,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.126785705,3.111,-3.734,-5.7181,3.295154,3.29515307,23.345233,90.0,90.0,120.0000093,,0
1,Sb-2dm-3356/MoS2-2dm-3150,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.24905965,3.384,-4.1206,-6.3517,3.162088,3.162087535,23.12983,90.0,90.0,120.0000049,,0
2,Sb-2dm-3356/ZnO-2dm-3277,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.988136719,0.766,-2.8991,-6.184,3.289099,3.289098999,20.634921,90.0,90.0,120.0000101,,0
3,Sb-2dm-3356/TeO2-2dm-3164,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,3.246843171,3.837,-4.2541,-6.4641,3.343942,3.344297,24.161191,90.0,90.0,90.0,,0
4,Sb-2dm-3356/NiS2-2dm-5509,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.327208281,2.605,-5.1097,-6.2052,3.32265,3.322648867,22.374307,90.0,90.0,59.99998872,Z-scheme_A,1
5,Sb-2dm-3356/SnS2-2dm-3203,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.471341946,2.858,-5.0142,-7.4137,3.679803,3.679803355,22.955682,90.0,90.0,120.0000058,Z-scheme_A,1
6,Sb-2dm-3356/LiSbO2-2dm-5711,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,3.214081343,1.622,-2.0706,-5.7146,5.285750949,5.376066524,21.85444,90.0,90.0,98.88960352,,0
7,Sb-2dm-3356/WS2-2dm-3749,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.249022243,3.323,-3.7228,-6.0834,3.173754,3.173754356,23.131045,90.0,90.0,119.9999963,,0
8,Sb-2dm-3356/TiO2-2dm-3816,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,3.227378845,2.09,-5.3055,-9.5108,2.988661,2.988661314,21.93527,90.0,90.0,60.00001454,,0
9,Sb-2dm-3356/SnS-2dm-3338,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.355449471,2.162,-2.9152,-5.5042,3.756825,5.780787,22.22502,90.0,90.0,90.0,,0
10,Sb-2dm-3356/NiS2-2dm-5050,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.328583047,1.868,-3.802,-6.3337,5.192313,5.314661014,21.102196,90.0,90.0,89.99647714,,0
