,tags,Allen_electronegativity_A,E_vacum_level_A,gap_dir_A,HSE_CBM_A,HSE_VBM_A,lattice_a_A,lattice_b_A,lattice_c_A,lattice_alpha_A,lattice_beta_A,lattice_gamma_A,Allen_electronegativity_B,E_vacum_level_B,gap_dir_B,HSE_CBM_B,HSE_VBM_B,lattice_a_B,lattice_b_B,lattice_c_B,lattice_alpha_B,lattice_beta_B,lattice_gamma_B,Type,Ecc,Evv,Ecv,Etotal,Allen_elec_diff,Ecc_Ecv_diff,Type_Allen_010,Type_Allen_010_diff_06,A-CBM,A-VBM,B-CBM,B-VBM,A-band gap,B-band gap,Low X(H2),Low X(O2)
4,Sb-2dm-3356/NiS2-2dm-5509,1.984932896,2.178,FALSE,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90,90,60.00000208,2.327208281,2.605,FALSE,-5.1097,-6.2052,3.32265,3.322648867,22.374307,90,90,59.99998872,Type-II_A,1.6654,0.9268999999999998,0.16859999999999964,2.7608999999999995,-0.342275385,1.4968000000000004,Z-scheme_A,Z-scheme_A,,,,,,,,
5,Sb-2dm-3356/SnS2-2dm-3203,1.984932896,2.178,FALSE,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90,90,60.00000208,2.471341946,2.858,FALSE,-5.0142,-7.4137,3.679803,3.679803355,22.955682,90,90,120.0000058,Type-II_A,1.5698999999999996,2.1354000000000006,0.2641,3.9694000000000003,-0.48640905,1.3057999999999996,Z-scheme_A,Z-scheme_A,,,,,,,,
2882,SnO2-2dm-5126/GaN-2dm-2992,3.354923347,2.522,FALSE,-5.4522,-9.6337,3.224604,3.224604016,22.030689,90,90,60.00000017,2.732714166,1.291,FALSE,-2.5558,-6.0172,3.204977,3.205176004,20.005301,90,90,119.9979565,Type-II_B,2.8964000000000003,3.6164999999999994,0.5649999999999995,7.0779,0.6222091810000001,2.331400000000001,Z-scheme_B,Z-scheme_B,-6.384733,-10.266717,-2.625805,-6.443314,3.881984,3.817509,1.815,4.021
28,Sb-2dm-3356/PtO2-2dm-4178,1.984932896,2.178,FALSE,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90,90,60.00000208,2.812333403,2.284,FALSE,-5.1279,-8.4067,3.145525,3.145525133,21.895886,90,90,119.9999881,Type-II_A,1.6836000000000002,3.128400000000001,0.15039999999999942,4.962400000000001,-0.827400507,1.5332000000000008,Z-scheme_A,Z-scheme_A,,,,,,,,
30,Sb-2dm-3356/Sn(PS3)2-2dm-5267,1.984932896,2.178,FALSE,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90,90,60.00000208,2.496801214,2.698,FALSE,-4.7198,-7.1359,6.060796,6.060795737,23.37358,90,90,59.99999857,Type-II_A,1.2755,1.8576000000000006,0.5584999999999996,3.6916,-0.511868318,0.7170000000000005,Z-scheme_A,Z-scheme_A,,,,,,,,
47,Sb-2dm-3356/AgBrO4-2dm-4961,1.984932896,2.178,FALSE,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90,90,60.00000208,3.097636677,1.463,FALSE,-4.7591,-8.0725,4.924892,4.924892,21.851947,90,90,90,Type-II_A,1.3148,2.7942,0.5191999999999997,4.6282,-1.112703781,0.7956000000000003,Z-scheme_A,Z-scheme_A,,,,,,,,
57,Sb-2dm-3356/SnSe2-2dm-4715,1.984932896,2.178,FALSE,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90,90,60.00000208,2.322136442,2.62,FALSE,-5.1507,-6.59,3.851815,3.851815061,23.192878,90,90,119.9999909,Type-II_A,1.7063999999999995,1.3117,0.12760000000000016,3.1456999999999997,-0.337203546,1.5787999999999993,Z-scheme_A,Z-scheme_A,,,,,,,,
58,Sb-2dm-3356/Bi2Te2S-2dm-4461,1.984932896,2.178,FALSE,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90,90,60.00000208,2.222796212,3.336,FALSE,-4.6796,-5.4512,4.251572,4.251741,26.487177,90,90,90,Type-II_A,1.2352999999999996,0.17290000000000028,0.5987,2.0069,-0.237863316,0.6365999999999996,Z-scheme_A,Z-scheme_A,,,,,,,,
63,Sb-2dm-3356/BiIO-2dm-3710,1.984932896,2.178,FALSE,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90,90,60.00000208,2.77269196,3.812,FALSE,-4.6628,-6.9529,4.012014,4.012014,26.221992,90,90,90,Type-II_A,1.2184999999999997,1.6745999999999999,0.6154999999999999,3.5085999999999995,-0.787759064,0.6029999999999998,Z-scheme_A,Z-scheme_A,,,,,,,,
65,Sb-2dm-3356/CuSe2Br-2dm-4942,1.984932896,2.178,FALSE,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90,90,60.00000208,2.400343043,1.792,FALSE,-4.6723,-6.3575,4.908693,7.754917,23.08857,90,90,90,Type-II_A,1.2279999999999998,1.0792000000000002,0.6059999999999999,2.9132,-0.415410147,0.6219999999999999,Z-scheme_A,Z-scheme_A,,,,,,,,
