Unnamed: 0,Allen_electronegativity_A,E_vacum_level_A,HSE_CBM_A,HSE_VBM_A,lattice_a_A,lattice_b_A,lattice_c_A,lattice_alpha_A,lattice_beta_A,lattice_gamma_A,Allen_electronegativity_B,E_vacum_level_B,HSE_CBM_B,HSE_VBM_B,lattice_a_B,lattice_b_B,lattice_c_B,lattice_alpha_B,lattice_beta_B,lattice_gamma_B
3409,2.233621131,2.033,-3.2352,-5.5272,3.895047,6.166192,21.993132,90.0,90.0,90.0,2.57540809,2.896,-5.4289,-6.9642,3.358682,3.938229,25.497036,90.0,90.0,90.0
3829,2.230129228,3.86,-4.6657,-5.8709,4.117986,4.117985577,27.164394,90.0,90.0,59.9999966,3.919501276,1.768,-5.6745,-7.469,3.670817,4.412889,23.822026,90.0,90.0,90.0
2904,2.106503102,2.487,-4.2329,-6.1601,3.721333,3.721332825,22.613389,90.0,90.0,119.9999927,2.848545305,1.873,-5.5614,-7.5309,3.884086,7.280273,22.803907,90.0,90.0,90.0
11021,2.11217965,2.576,-3.5736,-6.4057,4.254018,4.254017432,23.515878,90.0,90.0,120.0000044,2.57540809,2.896,-5.4289,-6.9642,3.358682,3.938229,25.497036,90.0,90.0,90.0
1567,2.355449471,2.162,-2.9152,-5.5042,3.756825,5.780787,22.22502,90.0,90.0,90.0,2.908780877,3.357,-4.7152,-8.0556,3.929191,3.929191,25.731456,90.0,90.0,90.0
2258,2.340379513,2.862,-3.3932,-5.4725,3.797719,6.501177552,24.73229,90.0,90.0,106.9824782,2.68516788,1.195,-5.0471,-7.4831,4.181034,8.699793,19.861582,90.0,90.0,90.0
1591,2.355449471,2.162,-2.9152,-5.5042,3.756825,5.780787,22.22502,90.0,90.0,90.0,2.496633356,2.292,-4.4997,-7.8593,6.015734,6.015734606,22.631236,90.0,90.0,119.9967519
7934,2.248722003,1.607,-1.5932,-2.9143,4.531034,5.828534,24.856391,90.0,90.0,90.0,2.384556157,1.176,-2.796,-5.5378,4.071361,4.071361703,20.0,90.0,90.0,120.0000187
6362,3.097636677,1.463,-4.7591,-8.0725,4.924892,4.924892,21.851947,90.0,90.0,90.0,2.732714166,1.291,-2.5558,-6.0172,3.204977,3.205176004,20.005301,90.0,90.0,119.9979565
4013,2.564861932,2.169,-6.8279,-7.4793,3.604282,5.525302993,22.496499,90.0,90.0,70.96405323,2.349473434,2.466,-4.9353,-7.0287,3.633023,3.633023068,22.876961,90.0,90.0,120.0000085
7785,3.174905366,1.66,-5.7171,-7.9989,3.831025,6.947884,22.082157,90.0,90.0,90.0,2.218082663,2.359,-4.0904,-5.8118,5.167785,8.43491,23.272398,90.0,90.0,90.0
8377,2.384556157,1.176,-2.796,-5.5378,4.071361,4.071361703,20.0,90.0,90.0,120.0000187,2.908780877,3.357,-4.7152,-8.0556,3.929191,3.929191,25.731456,90.0,90.0,90.0
3522,4.042794506,1.806,-7.79,-10.2623,3.716632,4.545161,23.533328,90.0,90.0,90.0,2.541084905,2.254,-3.165,-7.8533,3.686836,3.686836316,22.766088,90.0,90.0,60.00000283
1877,2.124274421,3.072,-3.3544,-5.4683,3.294968,3.29496714,23.362456,90.0,90.0,120.0000086,2.349473434,2.466,-4.9353,-7.0287,3.633023,3.633023068,22.876961,90.0,90.0,120.0000085
1364,3.227378845,2.09,-5.3055,-9.5108,2.988661,2.988661314,21.93527,90.0,90.0,60.00001454,4.042794506,1.806,-7.79,-10.2623,3.716632,4.545161,23.533328,90.0,90.0,90.0
11512,2.803278288,1.845,-5.4666,-7.242,3.856275,7.477059,23.034943,90.0,90.0,90.0,2.173133607,2.612,-2.551,-6.1333,4.089094,4.089029766,23.144466,90.0,90.0,60.00051416
11583,2.541084905,2.254,-3.165,-7.8533,3.686836,3.686836316,22.766088,90.0,90.0,60.00000283,3.06586768,1.664,-6.1067,-8.6806,3.63341,7.605380597,24.947419,90.0,90.0,76.18009128
2846,3.354923347,2.522,-5.4522,-9.6337,3.224604,3.224604016,22.030689,90.0,90.0,60.00000017,2.11217965,2.576,-3.5736,-6.4057,4.254018,4.254017432,23.515878,90.0,90.0,120.0000044
3549,4.042794506,1.806,-7.79,-10.2623,3.716632,4.545161,23.533328,90.0,90.0,90.0,3.06586768,1.664,-6.1067,-8.6806,3.63341,7.605380597,24.947419,90.0,90.0,76.18009128
58,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.222796212,3.336,-4.6796,-5.4512,4.251572,4.251741,26.487177,90.0,90.0,90.0
6590,2.909470637,1.433,-3.2547,-6.9291,4.952409,6.286010538,21.762309,90.0,90.0,113.1988299,3.174905366,1.66,-5.7171,-7.9989,3.831025,6.947884,22.082157,90.0,90.0,90.0
2260,2.340379513,2.862,-3.3932,-5.4725,3.797719,6.501177552,24.73229,90.0,90.0,106.9824782,2.90102591,3.626,-4.9306,-7.4855,3.817251,3.817251,25.596943,90.0,90.0,90.0
4802,2.848545305,1.873,-5.5614,-7.5309,3.884086,7.280273,22.803907,90.0,90.0,90.0,2.422797811,3.878,-2.8871,-6.0035,3.686203,3.686202868,29.038372,90.0,90.0,59.99998984
5518,2.268670427,3.939,-3.2131,-5.4725,3.878769,3.878769692,32.800694,90.0,90.0,120.0000026,2.400343043,1.792,-4.6723,-6.3575,4.908693,7.754917,23.08857,90.0,90.0,90.0
7213,2.091396898,2.677,-3.4877,-5.4417,4.180646,8.306388909,24.078083,90.0,90.0,104.5753164,2.366052932,2.159,-5.0744,-7.6098,3.890027,6.443039,22.605336,90.0,90.0,90.0
6527,3.919501276,1.768,-5.6745,-7.469,3.670817,4.412889,23.822026,90.0,90.0,90.0,2.245673035,2.161,-3.0867,-6.0478,4.135507003,4.135507502,23.904198,90.0,90.0,91.07484666
2179,3.283379526,2.432,-5.5224,-7.2131,3.051295,3.952744,24.334873,90.0,90.0,90.0,2.25494064,2.588,-2.1967,-5.5721,3.992729,3.992729,23.396832,90.0,90.0,90.0
3354,2.233621131,2.033,-3.2352,-5.5272,3.895047,6.166192,21.993132,90.0,90.0,90.0,2.366052932,2.159,-5.0744,-7.6098,3.890027,6.443039,22.605336,90.0,90.0,90.0
4347,2.496801214,2.698,-4.7198,-7.1359,6.060796,6.060795737,23.37358,90.0,90.0,59.99999857,2.384556157,1.176,-2.796,-5.5378,4.071361,4.071361703,20.0,90.0,90.0,120.0000187
2154,3.283379526,2.432,-5.5224,-7.2131,3.051295,3.952744,24.334873,90.0,90.0,90.0,2.580497711,2.143,-2.3479,-6.4193,3.628011,3.628011517,22.665532,90.0,90.0,120.0000044
9242,2.483401917,1.474,-4.2545,-7.1446,5.456369,5.456369106,20.011837,90.0,90.0,59.99999458,2.255386928,2.772,-2.2347,-5.5524,4.10572,4.105718789,23.8053,90.0,90.0,119.9999936
2612,2.05884641,1.783,-3.7477,-6.0789,5.684482,5.868625,21.474759,90.0,90.0,90.0,2.663997204,2.944,-5.5874,-7.1332,3.256114,3.945636,25.224666,90.0,90.0,90.0
2203,3.283379526,2.432,-5.5224,-7.2131,3.051295,3.952744,24.334873,90.0,90.0,90.0,2.957806259,1.44,-2.5408,-6.3073,4.456376,5.788981817,21.774454,90.0,90.0,112.6376277
9220,2.308254936,3.465,-5.0144,-6.4708,4.151019,4.151020198,27.040325,90.0,90.0,60.00000158,2.066144252,4.69,-3.8664,-5.2895,4.302125,4.302126148,30.88171,90.0,90.0,59.99998576
7411,2.222796212,3.336,-4.6796,-5.4512,4.251572,4.251741,26.487177,90.0,90.0,90.0,2.117657398,2.63,-2.799,-5.4343,4.231040784,4.23103949,24.122461,90.0,90.0,92.7938274
5392,2.185013386,2.589,-3.2846,-6.4109,4.350368,4.350368,23.624085,90.0,90.0,90.0,3.081371048,2.211,-6.2463,-9.5867,2.917332,7.69231394,21.926218,90.0,90.0,100.9309837
63,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.77269196,3.812,-4.6628,-6.9529,4.012014,4.012014,26.221992,90.0,90.0,90.0
9217,2.308254936,3.465,-5.0144,-6.4708,4.151019,4.151020198,27.040325,90.0,90.0,60.00000158,2.173133607,2.612,-2.551,-6.1333,4.089094,4.089029766,23.144466,90.0,90.0,60.00051416
2333,2.340379513,2.862,-3.3932,-5.4725,3.797719,6.501177552,24.73229,90.0,90.0,106.9824782,2.57540809,2.896,-5.4289,-6.9642,3.358682,3.938229,25.497036,90.0,90.0,90.0
1355,3.227378845,2.09,-5.3055,-9.5108,2.988661,2.988661314,21.93527,90.0,90.0,60.00001454,2.340379513,2.862,-3.3932,-5.4725,3.797719,6.501177552,24.73229,90.0,90.0,106.9824782
2106,3.283379526,2.432,-5.5224,-7.2131,3.051295,3.952744,24.334873,90.0,90.0,90.0,3.057361059,0.95,-2.7082,-6.8287,5.252387,5.25238712,20.973331,90.0,90.0,60.00000706
5582,2.268670427,3.939,-3.2131,-5.4725,3.878769,3.878769692,32.800694,90.0,90.0,120.0000026,2.98255712,3.669,-4.7814,-7.6944,3.765332,3.765332,25.241912,90.0,90.0,90.0
28,1.984932896,2.178,-3.4443,-5.2783,4.12306,4.123060259,21.522725,90.0,90.0,60.00000208,2.812333403,2.284,-5.1279,-8.4067,3.145525,3.145525133,21.895886,90.0,90.0,119.9999881
9698,2.485779505,2.094,-4.5442,-7.5648,6.359725,6.359709672,22.871559,90.0,90.0,120.0000655,2.25494064,2.588,-2.1967,-5.5721,3.992729,3.992729,23.396832,90.0,90.0,90.0
1555,2.355449471,2.162,-2.9152,-5.5042,3.756825,5.780787,22.22502,90.0,90.0,90.0,2.90102591,3.626,-4.9306,-7.4855,3.817251,3.817251,25.596943,90.0,90.0,90.0
6845,3.081371048,2.211,-6.2463,-9.5867,2.917332,7.69231394,21.926218,90.0,90.0,100.9309837,2.325840722,2.697,-3.5923,-6.395,3.796432,3.796431519,24.817544,90.0,90.0,120.0000042
2875,3.354923347,2.522,-5.4522,-9.6337,3.224604,3.224604016,22.030689,90.0,90.0,60.00000017,2.433783624,2.954,-3.4471,-6.8011,3.620442,3.620441721,24.62312,90.0,90.0,60.00001572
202,2.126785705,3.111,-3.734,-5.7181,3.295154,3.29515307,23.345233,90.0,90.0,120.0000093,3.919501276,1.768,-5.6745,-7.469,3.670817,4.412889,23.822026,90.0,90.0,90.0
6499,3.919501276,1.768,-5.6745,-7.469,3.670817,4.412889,23.822026,90.0,90.0,90.0,2.119205791,3.886,-4.3906,-5.8357,4.390405,4.390405888,27.568998,90.0,90.0,59.99999916
1446,3.227378845,2.09,-5.3055,-9.5108,2.988661,2.988661314,21.93527,90.0,90.0,60.00001454,2.026292194,4.645,-4.198,-5.6093,4.350099,4.350099906,31.059379,90.0,90.0,59.99999928
1485,3.227378845,2.09,-5.3055,-9.5108,2.988661,2.988661314,21.93527,90.0,90.0,60.00001454,1.84584305,3.708,-3.881,-5.3546,4.098304,4.09830454,28.289136,90.0,90.0,60.00000436
7729,1.988757921,3.24,-3.2348,-4.6561,4.159285,4.159283976,27.237638,90.0,90.0,59.9999839,2.990042804,3.376,-4.5282,-8.2578,3.881722,3.881722,25.299774,90.0,90.0,90.0
1214,2.249022243,3.323,-3.7228,-6.0834,3.173754,3.173754356,23.131045,90.0,90.0,119.9999963,3.354923347,2.522,-5.4522,-9.6337,3.224604,3.224604016,22.030689,90.0,90.0,60.00000017
3269,1.933350961,3.716,-3.3091,-4.9577,3.524736002,3.524735472,23.646143,90.0,90.0,120.0001612,2.990042804,3.376,-4.5282,-8.2578,3.881722,3.881722,25.299774,90.0,90.0,90.0
8329,2.68516788,1.195,-5.0471,-7.4831,4.181034,8.699793,19.861582,90.0,90.0,90.0,2.161103034,3.021,-3.6164,-5.7759,4.115173,4.115171573,25.019273,90.0,90.0,120.0000034
8279,2.313024995,2.437,-3.8473,-7.0898,7.596411,7.596411333,23.704174,90.0,90.0,59.9999971,3.06586768,1.664,-6.1067,-8.6806,3.63341,7.605380597,24.947419,90.0,90.0,76.18009128
